date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:20:15	103603/103603	---MC-	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2002:20:15%20GMT	https://nusan.itch.io/combo-pool	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/nusan.itch.io/combo-pool.html	(from )
19:20:29	146/146	---M--	200	added ('OK')	text/plain	etag:%225ac04077-92%22	https://nusan.itch.io/robots.txt		(from )
19:20:31	45120/45120	---M--	200	added ('OK')	image/gif	etag:1508823216	https://img.itch.zone/aW1hZ2UvNzUxNTIvMzUyNTEwLmdpZg==/32x32%23m/axWEY%2F.gif	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.zone/aW1hZ2UvNzUxNTIvMzUyNTEwLmdpZg==/32x32#m/axWEY/.gif	(from https://nusan.itch.io/combo-pool)
19:20:33	57588/57588	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2009%20Feb%202018%2018:46:35%20GMT	https://cdn.siftscience.com/s.js	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/cdn.siftscience.com/s.js	(from https://nusan.itch.io/combo-pool)
19:20:35	150525/150525	---MCZ	200	added ('OK')	text/css	etag:W/%225ac33ad3-24bfd%22	https://itch.io/static/game.css?1523929262	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/gameb899.css	(from https://nusan.itch.io/combo-pool)
19:20:36	138678/138678	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ac33ac2-21db6%22	https://itch.io/static/lib.js?1523929262	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/libb899.js	(from https://nusan.itch.io/combo-pool)
19:20:36	125478/125478	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ac33ad2-1ea26%22	https://itch.io/static/bundle.min.js?1523929262	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/bundle.minb899.js	(from https://nusan.itch.io/combo-pool)
19:20:43	23105/23105	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ac04077-5a41%22	https://itch.io/static/lib/jquery.maskMoney.js	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/lib/jquery.maskMoney.js	(from https://nusan.itch.io/combo-pool)
19:20:52	36105/36105	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ac33ac9-8d09%22	https://itch.io/static/game.min.js?1523929262	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/game.minb899.js	(from https://nusan.itch.io/combo-pool)
19:20:53	35943/35943	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20Nov%202017%2020:19:12%20GMT	http://www.google-analytics.com/analytics.js	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/www.google-analytics.com/analytics.js	(from https://nusan.itch.io/combo-pool)
19:20:56	6629/6629	---MC-	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2002:20:54%20GMT	https://nusan.itch.io/combo-pool/purchase	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/nusan.itch.io/combo-pool/purchase.html	(from https://nusan.itch.io/combo-pool)
19:21:00	21420/21420	---MC-	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2002:21:00%20GMT	https://nusan.itch.io/	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/nusan.itch.io/index.html	(from https://nusan.itch.io/combo-pool)
19:21:01	4928/4928	---M--	200	added ('OK')	image/jpeg	etag:1522950906	https://img.itch.zone/aW1hZ2UyL3VzZXIvNDMyNjEvMTE1NTE2OC5qcGc=/25x25%23/b87b%2Fr.jpg	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.zone/aW1hZ2UyL3VzZXIvNDMyNjEvMTE1NTE2OC5qcGc=/25x25#/b87b/r.jpg	(from https://nusan.itch.io/combo-pool)
19:21:01	47609/47609	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Apr%202018%2002:20:58%20GMT	https://img.itch.io/aW1hZ2UvNzUxNTIvMzQ4MTIyLnBuZw==/250x600/WSdzp5.png	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.io/aW1hZ2UvNzUxNTIvMzQ4MTIyLnBuZw==/250x600/WSdzp5.png	(from https://nusan.itch.io/combo-pool)
19:21:02	915/915	---M--	200	added ('OK')	image/jpeg	etag:1522203893	https://img.itch.zone/aW1hZ2UyL3VzZXIvOTg0MjQyLzEwNjg5ODcuanBn/25x25%23/CzWbZW.jpg	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.zone/aW1hZ2UyL3VzZXIvOTg0MjQyLzEwNjg5ODcuanBn/25x25#/CzWbZW.jpg	(from https://nusan.itch.io/combo-pool)
19:21:04	1526/1526	---M--	200	added ('OK')	image/png	etag:1501816140	https://img.itch.zone/aW1hZ2UyL3VzZXIvMTk4OTM3LzM0ODEzNi5wbmc=/25x25%23/XhRTlq.png	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.zone/aW1hZ2UyL3VzZXIvMTk4OTM3LzM0ODEzNi5wbmc=/25x25#/XhRTlq.png	(from https://nusan.itch.io/combo-pool)
19:21:04	269033/269033	---M--	200	added ('OK')	image/gif	date:Tue,%2017%20Apr%202018%2002:20:56%20GMT	https://img.itch.io/aW1hZ2UvNzUxNTIvMzQ4MTIwLmdpZg==/250x600/d3shix.gif	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.io/aW1hZ2UvNzUxNTIvMzQ4MTIwLmdpZg==/250x600/d3shix.gif	(from https://nusan.itch.io/combo-pool)
19:21:05	243970/243970	---M--	200	added ('OK')	image/gif	date:Tue,%2017%20Apr%202018%2002:20:57%20GMT	https://img.itch.io/aW1hZ2UvNzUxNTIvMzQ4MTIxLmdpZg==/250x600/%2FagAbb.gif	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.io/aW1hZ2UvNzUxNTIvMzQ4MTIxLmdpZg==/250x600/agAbb.gif	(from https://nusan.itch.io/combo-pool)
19:21:09	3790/3790	---M--	200	added ('OK')	image/png	etag:%225ac04077-ece%22	https://nusan.itch.io/static/images/frog-red.png	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/nusan.itch.io/static/images/frog-red.png	(from https://nusan.itch.io/combo-pool)
19:21:10	2002/2002	---M--	200	added ('OK')	image/png	etag:1508823214	https://img.itch.zone/aW1hZ2UyL3VzZXIvNzYzOTc3LzgyNzc1OS5wbmc=/25x25%23/zPImH4.png	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.zone/aW1hZ2UyL3VzZXIvNzYzOTc3LzgyNzc1OS5wbmc=/25x25#/zPImH4.png	(from https://nusan.itch.io/combo-pool)
19:21:12	673/673	---M--	200	added ('OK')	image/jpeg	etag:1508470230	https://img.itch.zone/aW1hZ2UyL3VzZXIvNTU1OTU3LzYwNDcwMC5qcGc=/25x25%23/qerhdR.jpg	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.zone/aW1hZ2UyL3VzZXIvNTU1OTU3LzYwNDcwMC5qcGc=/25x25#/qerhdR.jpg	(from https://nusan.itch.io/combo-pool)
